feature,importance
D_94_mean_12,0.0005304232
B_33_mean_12,0.00053039537
D_74_min_6,0.00053037
R_27_mean_6,0.0005301098
D_77_min_12,0.0005299987
B_14_mean_6,0.00052949844
D_137_min_12,0.0005293441
D_78_min_6,0.0005290552
R_5_min_6,0.0005288177
R_18_max_12,0.00052851316
D_91_max_12,0.0005282978
D_145_mean_12,0.00052803766
D_83_min_12,0.0005275714
D_81_min_12,0.0005271754
P_4_latest,0.0005271089
R_17_min_12,0.0005268174
R_19_mean_6,0.0005261555
R_10_latest,0.000525863
R_10_max_12,0.0005241137
B_32_min_12,0.0005238703
B_36_min_6,0.0005230847
D_112_max_12,0.00052277715
D_112_max_6,0.00052237045
S_13_latest,0.0005218697
D_55_mean_12,0.0005213253
D_78_max_6,0.00052114535
D_109_min_6,0.0005210471
D_89_min_12,0.0005207623
S_18_max_12,0.0005207269
R_16_latest,0.00052044983
B_12_latest,0.0005198393
S_9_max_6,0.0005192084
S_19_max_6,0.0005191101
D_103_max_12,0.0005183222
D_96_max_6,0.000518052
D_83_mean_12,0.00051713176
D_61_min_6,0.00051667466
B_17_max_12,0.000516506
B_2_min_12,0.00051630585
D_54_min_12,0.000514533
D_39_mean_12,0.0005137312
D_83_min_6,0.0005135963
R_12_mean_12,0.0005134418
R_22_mean_6,0.00051258225
R_4_min_12,0.00051139796
B_38_5.0_latest,0.00051069993
R_4_min_6,0.0005101871
R_24_max_6,0.00051000796
B_1_mean_12,0.000509612
D_134_mean_12,0.0005093246
S_24_max_12,0.000509185
D_96_max_12,0.00050866586
D_135_latest,0.00050866546
D_103_min_6,0.0005084282
D_80_mean_6,0.00050821865
D_144_max_12,0.0005081314
S_7_mean_6,0.00050678273
D_113_mean_12,0.0005064792
D_96_latest,0.000506163
D_93_mean_12,0.0005053994
D_84_max_6,0.00050539896
R_25_max_12,0.0005044745
B_10_max_6,0.0005042445
D_109_min_12,0.0005041548
D_143_latest,0.00050403335
S_23_mean_6,0.00050372985
S_6_min_12,0.00050366885
S_11_min_6,0.0005030608
S_17_latest,0.0005029543
R_20_min_12,0.00050183525
R_6_mean_6,0.0005018345
B_14_max_12,0.00050170644
D_129_mean_12,0.000500956
D_112_min_6,0.0005004118
D_59_min_12,0.00050038536
D_68_4.0_RespRate_12,0.00050028623
R_11_max_6,0.00049965817
D_86_mean_12,0.0004990721
R_10_min_12,0.0004988283
S_25_mean_12,0.00049799215
D_140_min_12,0.00049777393
R_17_max_6,0.00049758184
B_16_max_12,0.0004964314
B_4_min_6,0.00049635407
B_8_mean_12,0.0004959638
B_26_latest,0.0004956352
R_27_mean_12,0.0004950799
R_22_min_12,0.0004939561
S_5_mean_12,0.00049364776
R_11_min_6,0.000493345
D_141_min_12,0.0004924321
B_20_min_12,0.00049221044
R_13_max_12,0.0004918696
D_145_max_6,0.00049155136
D_62_mean_12,0.0004912738
R_13_mean_6,0.0004910863
D_104_min_12,0.00049066055
R_13_mean_12,0.00049021357
D_64_R_RespRate_12,0.0004883474
D_142_max_12,0.00048804856
D_117_2.0_RespRate_12,0.00048792636
D_53_max_6,0.00048776623
B_5_min_12,0.00048769248
D_133_latest,0.00048745677
D_81_min_6,0.0004871525
R_23_max_12,0.0004868094
S_11_min_12,0.00048640344
D_137_max_12,0.00048627637
R_1_min_6,0.00048605626
D_69_mean_12,0.000485978
S_25_mean_6,0.00048594203
D_60_min_12,0.00048553984
S_16_max_6,0.00048518117
B_13_min_6,0.00048493437
B_36_max_12,0.0004846331
D_144_max_6,0.00048456455
B_8_max_6,0.0004840854
B_32_mean_12,0.00048394693
D_118_latest,0.00048385377
D_74_max_6,0.00048361876
P_4_min_6,0.00048355732
R_24_mean_12,0.00048297402
B_9_mean_6,0.00048202416
D_84_latest,0.00048185082
S_18_min_12,0.00048181578
B_41_min_12,0.0004814962
R_19_min_6,0.00048149153
R_6_latest,0.00048083693
B_20_mean_12,0.00048067127
D_82_min_6,0.00047857864
D_93_max_6,0.00047828906
D_140_latest,0.0004779909
D_102_max_6,0.00047770355
D_125_mean_6,0.00047766275
D_123_latest,0.00047686513
S_27_mean_12,0.00047618846
D_133_min_6,0.0004759891
D_62_latest,0.00047542737
S_25_latest,0.00047522536
R_18_mean_6,0.00047395713
D_74_min_12,0.00047345881
D_131_min_12,0.00047236867
R_11_min_12,0.00047176768
D_130_max_12,0.00047094794
D_92_min_6,0.00046991048
S_13_mean_6,0.0004696057
B_32_min_6,0.00046831244
D_86_min_6,0.00046823145
D_83_max_12,0.00046806922
S_15_min_12,0.00046804192
D_108_mean_6,0.0004675864
B_19_min_6,0.00046757152
D_105_min_12,0.00046705556
D_79_mean_12,0.00046659302
D_107_mean_6,0.00046588192
R_23_mean_6,0.00046533716
D_143_mean_12,0.00046497083
S_15_mean_6,0.00046473998
R_26_min_12,0.00046468954
S_15_max_12,0.00046427874
D_71_max_12,0.00046396037
R_28_max_6,0.00046385112
B_3_mean_12,0.0004637632
D_104_max_6,0.00046366267
R_23_mean_12,0.00046317585
